date,total_clones,unique_clones
2022-10-17,2,2
2022-10-18,0,0
2022-10-19,5,4
2022-10-20,4,3
2022-10-21,9,6
2022-10-22,4,3
2022-10-23,4,3
2022-10-24,5,4
2022-10-25,7,5
2022-10-26,6,5
2022-10-27,1,1
2022-10-28,3,3
2022-10-29,6,5
2022-10-30,5,4
2022-10-31,4,3
2022-11-01,1,1
2022-11-02,1,1
2022-11-03,1,1
2022-11-04,1,1
2022-11-05,1,1
2022-11-06,1,1
2022-11-07,1,1
2022-11-08,1,1
2022-11-09,1,1
2022-11-10,1,1
2022-11-11,1,1
2022-11-12,1,1
2022-11-13,1,1
2022-11-14,1,1
2022-11-15,1,1
2022-11-16,1,1
2022-11-17,1,1
2022-11-18,1,1
2022-11-19,1,1
2022-11-20,1,1
2022-11-21,1,1
2022-11-22,1,1
2022-11-23,1,1
2022-11-24,1,1
2022-11-25,1,1
2022-11-26,1,1
2022-11-27,1,1
2022-11-28,0,0
